received_at_utc,gnss_time_utc,source,latitude_deg,longitude_deg,altitude_m,speed_kmh,heading_deg,fix_valid,fix_quality,satellites_used,satellites_in_view,hdop,vdop,pdop,raw_sentence_type
2026-09-08T05:30:58Z,2026-09-08T05:30:58Z,simulation,22.307660,73.181681,41.1,5.32,40.6,true,gps_fix,11,12,1.2,1.6,2.0,GGA+RMC
2026-09-08T05:30:59Z,2026-09-08T05:30:59Z,simulation,22.307671,73.181690,41.0,5.46,38.2,true,gps_fix,10,12,1.3,1.7,2.1,GGA+RMC
2026-09-08T05:31:00Z,2026-09-08T05:31:00Z,simulation,22.307679,73.181698,41.0,4.49,41.0,true,gps_fix,9,9,0.7,0.9,1.1,GGA+RMC
2026-09-08T05:31:01Z,2026-09-08T05:31:01Z,simulation,22.307689,73.181708,40.9,5.47,43.2,true,gps_fix,12,15,1.1,1.4,1.8,GGA+RMC
2026-09-08T05:31:02Z,2026-09-08T05:31:02Z,simulation,22.307697,73.181716,40.8,4.34,42.6,true,gps_fix,12,13,1.1,1.4,1.8,GGA+RMC
2026-09-08T05:31:03Z,2026-09-08T05:31:03Z,simulation,22.307707,73.181727,40.7,5.37,45.3,true,gps_fix,8,8,0.9,1.2,1.5,GGA+RMC
2026-09-08T05:31:04Z,2026-09-08T05:31:04Z,simulation,22.307716,73.181738,40.8,5.75,48.5,true,gps_fix,9,10,1.2,1.6,2.0,GGA+RMC
2026-09-08T05:31:05Z,2026-09-08T05:31:05Z,simulation,22.307724,73.181748,40.8,4.96,49.8,true,gps_fix,10,14,1.2,1.6,2.0,GGA+RMC
2026-09-08T05:31:06Z,2026-09-08T05:31:06Z,simulation,22.307731,73.181759,40.7,4.75,53.2,true,gps_fix,8,11,0.7,0.9,1.1,GGA+RMC
2026-09-08T05:31:07Z,2026-09-08T05:31:07Z,simulation,22.307738,73.181770,40.9,4.92,55.1,true,gps_fix,12,13,0.9,1.2,1.5,GGA+RMC
2026-09-08T05:31:08Z,2026-09-08T05:31:08Z,simulation,22.307745,73.181780,41.0,4.51,57.4,true,gps_fix,10,11,0.8,1.0,1.3,GGA+RMC
2026-09-08T05:31:09Z,2026-09-08T05:31:09Z,simulation,22.307751,73.181791,41.1,4.95,60.7,true,gps_fix,8,9,0.7,0.9,1.1,GGA+RMC
2026-09-08T05:31:10Z,2026-09-08T05:31:10Z,simulation,22.307757,73.181803,41.2,4.91,58.3,true,gps_fix,9,11,1.1,1.4,1.8,GGA+RMC
2026-09-08T05:31:11Z,2026-09-08T05:31:11Z,simulation,22.307765,73.181817,41.2,6.09,57.5,true,gps_fix,7,7,1.3,1.7,2.1,GGA+RMC
2026-09-08T05:31:12Z,2026-09-08T05:31:12Z,simulation,22.307773,73.181829,41.3,5.37,55.6,true,gps_fix,7,7,1.1,1.4,1.8,GGA+RMC
2026-09-08T05:31:13Z,2026-09-08T05:31:13Z,simulation,22.307781,73.181841,41.3,5.74,54.3,true,gps_fix,11,11,1.0,1.3,1.6,GGA+RMC
2026-09-08T05:31:14Z,2026-09-08T05:31:14Z,simulation,22.307788,73.181852,41.4,4.78,55.0,true,gps_fix,7,11,1.3,1.7,2.1,GGA+RMC
2026-09-08T05:31:15Z,2026-09-08T05:31:15Z,simulation,22.307796,73.181864,41.4,5.61,55.3,true,gps_fix,12,13,1.0,1.3,1.6,GGA+RMC
2026-09-08T05:31:16Z,2026-09-08T05:31:16Z,simulation,22.307804,73.181876,41.4,5.52,51.8,true,gps_fix,9,9,1.2,1.6,2.0,GGA+RMC
2026-09-08T05:31:17Z,2026-09-08T05:31:17Z,simulation,22.307812,73.181886,41.4,4.88,50.2,true,gps_fix,10,12,1.1,1.4,1.8,GGA+RMC
2026-09-08T05:31:18Z,2026-09-08T05:31:18Z,simulation,22.307821,73.181897,41.3,5.52,47.8,true,gps_fix,12,13,1.1,1.4,1.8,GGA+RMC
2026-09-08T05:31:19Z,2026-09-08T05:31:19Z,simulation,22.307831,73.181907,41.2,5.31,46.2,true,gps_fix,9,10,1.0,1.3,1.6,GGA+RMC
2026-09-08T05:31:20Z,2026-09-08T05:31:20Z,simulation,22.307840,73.181918,41.2,5.50,46.8,true,gps_fix,10,11,1.1,1.4,1.8,GGA+RMC
2026-09-08T05:31:21Z,2026-09-08T05:31:21Z,simulation,22.307850,73.181930,41.2,6.05,49.2,true,gps_fix,12,12,0.9,1.2,1.5,GGA+RMC
2026-09-08T05:31:22Z,2026-09-08T05:31:22Z,simulation,22.307858,73.181942,41.1,5.43,50.5,true,gps_fix,8,10,0.9,1.2,1.5,GGA+RMC
2026-09-08T05:31:23Z,2026-09-08T05:31:23Z,simulation,22.307866,73.181950,41.0,4.36,48.1,true,gps_fix,10,14,1.3,1.7,2.1,GGA+RMC
2026-09-08T05:31:24Z,2026-09-08T05:31:24Z,simulation,22.307875,73.181960,41.1,5.07,44.6,true,gps_fix,8,11,1.0,1.3,1.6,GGA+RMC
2026-09-08T05:31:25Z,2026-09-08T05:31:25Z,simulation,22.307885,73.181970,40.9,5.50,42.6,true,gps_fix,7,10,0.9,1.2,1.5,GGA+RMC
2026-09-08T05:31:26Z,2026-09-08T05:31:26Z,simulation,22.307895,73.181981,40.9,5.57,45.0,true,gps_fix,11,12,1.3,1.7,2.1,GGA+RMC
2026-09-08T05:31:27Z,2026-09-08T05:31:27Z,simulation,22.307903,73.181989,40.9,4.56,42.0,true,gps_fix,11,15,1.1,1.4,1.8,GGA+RMC
2026-09-08T05:31:28Z,2026-09-08T05:31:28Z,simulation,22.307913,73.182000,40.9,5.92,45.6,true,gps_fix,12,16,1.0,1.3,1.6,GGA+RMC
2026-09-08T05:31:29Z,2026-09-08T05:31:29Z,simulation,22.307922,73.182011,40.8,5.12,48.9,true,gps_fix,10,13,0.9,1.2,1.5,GGA+RMC
2026-09-08T05:31:30Z,2026-09-08T05:31:30Z,simulation,22.307931,73.182022,40.9,5.47,46.8,true,gps_fix,11,14,1.1,1.4,1.8,GGA+RMC
2026-09-08T05:31:31Z,2026-09-08T05:31:31Z,simulation,22.307939,73.182030,40.9,4.46,45.0,true,gps_fix,9,11,0.9,1.2,1.5,GGA+RMC
2026-09-08T05:31:32Z,2026-09-08T05:31:32Z,simulation,22.307947,73.182039,40.8,4.57,45.3,true,gps_fix,12,13,1.2,1.6,2.0,GGA+RMC
2026-09-08T05:31:33Z,2026-09-08T05:31:33Z,simulation,22.307957,73.182048,40.8,5.05,41.9,true,gps_fix,10,10,0.8,1.0,1.3,GGA+RMC
2026-09-08T05:31:34Z,2026-09-08T05:31:34Z,simulation,22.307968,73.182058,40.8,5.95,41.2,true,gps_fix,12,12,1.3,1.7,2.1,GGA+RMC
2026-09-08T05:31:35Z,2026-09-08T05:31:35Z,simulation,22.307977,73.182068,40.7,5.00,43.3,true,gps_fix,9,11,1.2,1.6,2.0,GGA+RMC
2026-09-08T05:31:36Z,2026-09-08T05:31:36Z,simulation,22.307987,73.182079,40.6,6.04,46.2,true,gps_fix,12,16,1.3,1.7,2.1,GGA+RMC
2026-09-08T05:31:37Z,2026-09-08T05:31:37Z,simulation,22.307996,73.182090,40.6,5.20,49.4,true,gps_fix,10,10,1.0,1.3,1.6,GGA+RMC
2026-09-08T05:31:38Z,2026-09-08T05:31:38Z,simulation,22.308005,73.182102,40.6,5.76,50.7,true,gps_fix,10,11,1.4,1.8,2.3,GGA+RMC
2026-09-08T05:31:39Z,2026-09-08T05:31:39Z,simulation,22.308014,73.182115,40.7,5.95,51.0,true,gps_fix,12,12,0.8,1.0,1.3,GGA+RMC
